Full Name,Value(in Euro),Overall,Reactions,Dribbling Total,Passing Total,Positions Played,Best Position,Nationality,Club Name,Position check
Răzvan Oaidă,13.9108207377686,65,65,63,63,"CM,CDM",CDM,Romania,FCSB (Steaua),0
Mohammed Salem,11.77528972943772,65,60,47,45,"CB,RB",CB,Saudi Arabia,Al Raed,0
Leonardo Capezzi,13.623138665316818,65,66,64,65,"CM,CDM",CM,Italy,US Salernitana 1919,0
Geny Cipriano Catamo,14.403297222866392,65,56,69,55,RW,LM,Mozambique,Clube Sport Marítimo,0
Iván Cazal,14.28551418721001,65,63,64,62,"RM,LM",RM,Paraguay,Club Atlético Lanús,0
Sota Mino,13.623138665316818,65,62,54,57,"CDM,CM",CDM,Japan,AFC Hermannstadt,0
Luc Ihorst,14.28551418721001,65,59,59,50,"ST,RM",ST,Germany,Eintracht Braunschweig,0
Mikkel Maigaard,13.623138665316818,65,63,65,65,"CM,RM",CAM,Denmark,Sarpsborg 08 FF,0
Chaker Alhadhur,13.345506928718539,65,62,63,56,"RB,LB",RB,Comoros,AC Ajaccio,0
Nicolò Cambiaghi,14.403297222866392,65,59,68,58,"LW,CAM",CAM,Italy,Empoli,0
Julian Baas,14.28551418721001,65,63,63,65,"LM,CM,CDM",RM,Netherlands,Excelsior,0
Conor Shaughnessy,13.560618308335483,65,62,59,58,CB,CB,Republic of Ireland,Burton Albion,1
Scott High,14.28551418721001,65,63,65,66,"CM,RB",CAM,Scotland,Rotherham United,0
Alexandre da Costa Silva,13.764217263576723,65,62,71,58,"LM,ST",CAM,Portugal,Dijon FCO,0
Héctor Espínola,13.071070083016778,65,55,70,60,GK,GK,Paraguay,Guaireña FC,1
Valentino Müller,14.077874822431765,65,65,66,63,"CDM,CM",CM,Austria,WSG Tirol,0
Nils Fröling,14.28551418721001,65,65,68,56,"LM,RM",ST,Sweden,F.C. Hansa Rostock,0
Renier Rodríguez,11.982929094215963,65,63,64,60,"LB,CB",LB,Venezuela,Metropolitanos de Caracas FC,0
Tanner Beason,13.710150042306449,65,59,56,42,CB,CB,United States,San Jose Earthquakes,1
Marko Vukčević,13.345506928718539,65,61,58,56,RB,RB,Montenegro,AFC UTA Arad,1
Burak Öksüz,13.623138665316818,65,54,46,48,CB,CB,Turkey,Atakaş Hatayspor,1
Si Woo Song,13.493926933836812,65,69,64,59,"ST,RM",LW,Korea Republic,Incheon United FC,0
Tristan Muyumba,13.710150042306449,65,62,65,60,"CDM,CM",CDM,France,En Avant de Guingamp,0
Brandon Fleming,13.9108207377686,65,59,64,54,"LB,LWB,LM",LB,England,Hull City,0
Leonardo Alves Chú,14.22097566607244,65,45,70,58,"LM,LW",LM,Brazil,Seattle Sounders FC,0
Gabriel Torje,13.262125319779487,65,56,66,66,"RW,LW",RW,Romania,FC Farul Constanța,0
Izuchukwu Anthony,13.737549016494562,65,58,58,46,"CB,CDM",CB,Nigeria,Al Khaleej,0
Haissem Hassan,14.346138809026444,65,53,70,58,"RM,LM",LM,France,Villarreal Club de Fútbol B,0
Clinton Mola,14.22097566607244,65,61,64,63,"LB,CB",CDM,England,Blackburn Rovers,0
Michael Novak,13.17115354157376,65,59,64,59,"RB,RWB,LB",RB,Austria,RZ Pellets Wolfsberger AC,0
Patricio Matricardi,13.422467969854667,65,63,40,40,CB,CB,Argentina,FC Voluntari,1
Jamie McCart,13.764217263576723,65,59,60,44,CB,CB,Scotland,Rotherham United,1
Cole Alexander,13.217673557208654,65,60,65,64,"CM,CAM,RM",RM,South Africa,Kaizer Chiefs,0
Cameron Borthwick-Jackson,13.623138665316818,65,62,61,61,"LWB,CB",LWB,England,Burton Albion,0
Leon Bergsma,13.710150042306449,65,64,57,54,CB,CB,Netherlands,SC Cambuur,1
Kristoffer Klaesson,14.22097566607244,65,59,69,63,GK,GK,Norway,Leeds United,1
Leon Bell Bell,13.681979165339751,65,58,66,57,LB,LB,Cameroon,1. FC Magdeburg,1
Franco Zuculini,13.262125319779487,65,64,65,65,CM,CDM,Argentina,SPAL,0
Christian Conteh,14.28551418721001,65,55,71,50,"LM,RM,ST",RM,Germany,SG Dynamo Dresden,0
Jake Beesley,13.815510557964274,65,60,60,48,ST,ST,England,Blackpool,1
Denis Will Poha,13.815510557964274,65,61,67,65,CM,CDM,France,FC Sion,0
Victor Torp,14.28551418721001,65,59,69,65,"CAM,CM,ST",CAM,Denmark,Sarpsborg 08 FF,0
Florian Jaritz,13.790192749979985,65,62,65,62,"LM,LB",LM,Austria,SK Austria Klagenfurt,0
Nemanja Mijušković,13.262125319779487,65,61,41,46,CB,CB,Montenegro,Miedź Legnica,1
Samuel Jumpe Soares,14.346138809026444,65,62,69,70,GK,GK,Portugal,SL Benfica,1
Ruben Herráiz Alcaraz,13.458835614025542,65,65,67,59,"CAM,ST",CAM,Spain,Sandefjord Fotball,0
Andy Kawaya,13.652991628466498,65,58,70,58,"RM,LM",RM,Belgium,Albacete BP,0
Dominique Guidi,13.681979165339751,65,55,50,50,CB,CB,France,SC Bastia,1
Juan Camilo Becerra,13.9108207377686,65,63,62,54,ST,ST,Colombia,RCD Espanyol de Barcelona,1
Elias Jelert,14.22097566607244,65,58,67,57,"RB,LB",RWB,Denmark,F.C. København,0
Jay Emmanuel-Thomas,13.304684934198283,65,60,64,62,ST,ST,England,Jamshedpur FC,1
Mitchel Paulissen,13.458835614025542,65,65,64,66,"CAM,CM",CAM,Netherlands,SC Cambuur,0
Kyle Edwards,13.790192749979985,65,58,70,59,"LW,LM",RM,England,Ipswich Town,0
Christopher Cvetko,13.652991628466498,65,64,61,60,"CDM,CM",CDM,Austria,SK Austria Klagenfurt,0
Craig MacGillivray,13.217673557208654,65,61,66,66,GK,GK,Scotland,Charlton Athletic,1
Oliver Zandén,14.28551418721001,65,54,54,60,LB,LB,Sweden,Toulouse Football Club,1
Ricardo Schuck Friedrich,13.304684934198283,65,61,66,62,GK,GK,Brazil,Kalmar FF,1
Jonathan Medina,13.122363377404328,65,60,63,65,GK,GK,Peru,Club Alianza Lima,1
Michell Ramos,13.9108207377686,65,65,65,44,ST,ST,Colombia,Deportivo Cali,1
Milos Raičković,13.493926933836812,65,60,63,64,CM,CM,Montenegro,Seongnam FC,1
Ricardo Manuel Vieira da Silva,13.737549016494562,65,59,69,56,GK,GK,Portugal,Santa Clara,1
Adam May,13.815510557964274,65,63,64,61,"CAM,CDM",CAM,England,Cambridge United,0
Þórir Jóhann Helgason,14.28551418721001,65,59,64,63,CM,CAM,Iceland,Lecce,0
Antony Iannarilli,12.834681304952548,65,61,63,68,GK,GK,Italy,Ternana,1
Sergiu Buș,13.493926933836812,65,61,61,58,ST,ST,Romania,CFR Cluj,1
Tobias Bech,14.28551418721001,65,50,67,58,"RM,RW",CAM,Denmark,FC Ingolstadt 04,0
Robert Herrmann,13.493926933836812,65,61,67,62,"LM,LB,CM",LM,Germany,FSV Zwickau,0
Luke Jephcott,13.9108207377686,65,65,65,54,ST,ST,Wales,Swindon Town,1
Yesid Díaz,14.077874822431765,65,60,54,59,CDM,CDM,Colombia,Independiente Medellín,1
Eiran Cashin,14.22097566607244,65,58,53,49,CB,CB,Republic of Ireland,Derby County,1
Angus Thurgate,14.151982794585487,65,62,65,61,"CDM,CM,CAM",CAM,Australia,Newcastle Jets,0
Suheyel Najar,13.560618308335483,65,61,68,56,"RM,LM,CAM",RM,Germany,SV Wehen Wiesbaden,0
Emmanuel Latte Lath,14.28551418721001,65,55,67,57,"ST,LW",ST,Côte d'Ivoire,FC St. Gallen 1879,0
Dennis Borkowski,14.28551418721001,65,61,66,46,"ST,LM",ST,Germany,SG Dynamo Dresden,0
Daniel Fernández Fernández,13.790192749979985,65,64,61,54,"RB,RM",RB,Spain,Racing Santander,0
Robert Murić,13.652991628466498,65,58,75,61,RM,CAM,Croatia,İttifak Holding Konyaspor,0
Jiovany Ramos,13.815510557964274,65,60,48,53,CB,CB,Panama,Deportivo La Guaira FC,1
Jack Payne,13.527828485512494,65,63,70,62,CM,CAM,England,Charlton Athletic,0
Ianis Stoica,14.346138809026444,65,60,68,58,"ST,RW,CF",RM,Romania,FCSB (Steaua),0
Enzo Cornelisse,14.28551418721001,65,66,60,60,CB,CDM,Netherlands,Vitesse,0
Néstor Cova,13.527828485512494,65,58,54,54,LB,LB,Venezuela,Metropolitanos de Caracas FC,1
Liam Roberts,13.304684934198283,65,60,66,62,GK,GK,England,Middlesbrough,1
Răzvan Onea,13.764217263576723,65,60,62,56,RB,RWB,Romania,Rapid București,0
Juan Pablo Pignani,14.22097566607244,65,61,62,55,CB,CB,Argentina,Platense,1
Joseph Espinoza,14.22097566607244,65,62,63,60,"CDM,CM",CM,Ecuador,LDU Quito,0
Konrad Faber,13.815510557964274,65,63,69,60,"RB,CAM,RM",RM,Germany,SSV Jahn Regensburg,0
Ameen Al-Dakhil,14.22097566607244,65,63,55,49,CB,CB,Belgium,Sint-Truidense VV,1
Agustín Cayetano,14.22097566607244,65,51,47,57,"LB,LWB",LB,Uruguay,Liverpool Fútbol Club,0
Santiago Herrera,14.22097566607244,65,63,68,54,"ST,CAM,RW",ST,Venezuela,Deportivo La Guaira FC,0
Harry Arter,13.071070083016778,65,62,63,65,"CDM,CM",CDM,Republic of Ireland,Nottingham Forest,0
Okan Aydın,13.493926933836812,65,61,67,62,"CAM,LM,RM",CAM,Turkey,TSV Egger Glas Hartberg,0
David Jablonský,13.262125319779487,65,48,48,45,CB,CB,Czech Republic,Cracovia,1
William Velasco,14.22097566607244,65,60,66,63,"RM,CM",CAM,Bolivia,Independiente Petrolero,0
Tom Aldred,13.122363377404328,65,57,41,39,CB,CB,Scotland,Brisbane Roar,1
Maximilian Thiel,13.458835614025542,65,61,66,62,"LM,CAM",LW,Germany,FC Erzgebirge Aue,0
Johan Arath Gómez,14.346138809026444,65,58,70,51,"CF,RM,CAM",CAM,United States,FSV Zwickau,0
Kader N'Chobi,13.764217263576723,65,68,67,48,"ST,LM",ST,France,Stade Lavallois Mayenne FC,0
Abdullah Yiğiter,13.737549016494562,65,55,67,63,GK,GK,Turkey,Atakaş Hatayspor,1
Abderrahman Rebbach,13.9108207377686,65,49,69,59,"LM,RM,CAM",ST,Algeria,Deportivo Alavés,0
Saúl Guarirapa,14.457364444136669,65,62,64,62,"ST,LM",ST,Venezuela,Caracas Fútbol Club,0
Sylvester Jasper,14.28551418721001,65,54,67,59,"RM,LM",RM,Bulgaria,Bristol Rovers,0
Franco Orozco,14.457364444136669,65,45,70,57,"LM,LW,RW",RM,Argentina,Club Atlético Lanús,0
Miguel Ferreira de Sousa,13.9108207377686,65,61,68,66,CAM,CAM,Portugal,Clube Sport Marítimo,1
Bartosz Śpiączka,13.458835614025542,65,63,61,53,ST,ST,Poland,Korona Kielce,1
Min Hyeok Kim,13.262125319779487,65,51,44,33,CB,CB,Korea Republic,Seongnam FC,1
Álvaro Sanz Catalán,14.346138809026444,65,65,66,62,CDM,CDM,Spain,FC Barcelona,1
Tito Rojas,11.695247021764184,65,62,61,65,GK,GK,Venezuela,Metropolitanos de Caracas FC,1
Lautaro Ríos,14.403297222866392,65,66,64,61,"CM,CDM",CM,Argentina,Club Atlético Banfield,0
Tayyip Sanuç,14.22097566607244,65,63,53,45,CB,CB,Turkey,Beşiktaş JK,1
Barış Yardımcı,13.345506928718539,65,62,64,57,RB,RB,Turkey,İttifak Holding Konyaspor,1
Franklin Carabalí,13.592367006650065,65,64,58,51,"RB,CB",CB,Ecuador,Mushuc Runa,0
Jordi Escobar Fernández,14.28551418721001,65,62,61,51,"ST,LW",ST,Spain,Real Betis Balompié,0
Daniel Jebbison,14.346138809026444,65,56,63,50,ST,ST,England,Sheffield United,1
Álvaro Campuzano,13.623138665316818,65,62,61,56,CDM,CDM,Paraguay,Club Libertad,1
Pablo Bobadilla Sáenz,13.737549016494562,65,61,48,48,CB,CB,Spain,Racing Santander,1
Danylo Sikan,14.403297222866392,65,64,65,49,ST,ST,Ukraine,Shakhtar Donetsk,1
Danny Mandroiu,14.151982794585487,65,59,67,64,LW,CAM,Republic of Ireland,Lincoln City,0
Richard van der Venne,13.458835614025542,65,57,65,63,"CAM,CM",CAM,Netherlands,Melbourne City FC,0
Teal Bunbury,13.262125319779487,65,55,62,59,"ST,LM,RM",ST,United States,Nashville SC,0
Tiberiu Căpușă,13.815510557964274,65,63,58,54,RB,RB,Romania,AFC Chindia Târgoviște,1
Jonatan Tollås Nation,13.071070083016778,65,65,49,49,CB,CB,Norway,Vålerenga Fotball,1
David Ajiboye,13.9108207377686,65,56,68,55,RM,RM,England,Peterborough United,1
Guillermo Rosas Alonso,14.22097566607244,65,60,65,54,RB,RWB,Spain,Real Sporting de Gijón,0
Marley Watkins,13.304684934198283,65,66,67,60,ST,CF,Wales,Aberdeen,0
Oliver Bundgaard,14.346138809026444,65,60,65,57,LB,LB,Denmark,Viborg FF,1
Antonio Jonjić,14.22097566607244,65,64,69,56,"ST,RM,LM",CAM,Germany,FC Erzgebirge Aue,0
Orlando Barreto,13.560618308335483,65,70,59,55,"CB,CDM",CB,Paraguay,General Caballero (JLM),0
Eric Bugale Kitolano,13.790192749979985,65,58,68,60,"CAM,CF,CM",RM,Norway,Tromsø IL,0
Ethan Erhahon,14.28551418721001,65,62,66,63,"CM,CDM",CAM,Scotland,St. Mirren,0
Sam Finley,13.458835614025542,65,63,67,63,CM,CM,England,Bristol Rovers,1
Lucas Passerini,13.560618308335483,65,66,55,46,ST,ST,Argentina,Unión La Calera,1
Vicente Besuijen,14.28551418721001,65,60,69,57,"CAM,RM",RM,Netherlands,Aberdeen,0
Patryk Janasik,13.764217263576723,65,62,62,60,"RB,RM",RWB,Poland,Śląsk Wrocław,0
Matías Vera,13.9108207377686,65,57,67,54,RB,RWB,Argentina,Club Atlético Lanús,0
Santiago Brunelli,13.790192749979985,65,53,35,35,CB,CB,Uruguay,Club Atlético River Plate,1
Azmahar Ariano,13.122363377404328,65,66,47,41,CB,CB,Panama,Deportivo Táchira FC,1
Tom Rothe,14.346138809026444,65,59,58,57,"LB,LM",LB,Germany,Borussia Dortmund,0
Luca Maniero,13.527828485512494,65,54,67,61,GK,GK,Italy,Cittadella,1
Sakarias Opsahl,14.151982794585487,65,60,65,65,CM,CM,Norway,Tromsø IL,1
Frederik Winther,14.22097566607244,65,64,58,51,CB,CB,Denmark,FC Augsburg,1
Alejandro Sánchez,11.289781913656018,65,64,65,63,GK,GK,Argentina,Platense,1
Marios Elia,13.652991628466498,65,59,65,56,"RW,CF",ST,Cyprus,APOEL Nicosia FC,0
Viktor Boone,13.790192749979985,65,59,51,49,CB,CB,Belgium,Royale Union Saint-Gilloise,1
Jonathan Augustinsson,13.652991628466498,65,54,62,61,"LWB,CB",LWB,Sweden,Rosenborg BK,0
Dango Ouattara,14.28551418721001,65,57,67,49,"ST,LW",ST,Burkina Faso,FC Lorient,0
Bojan Nastić,13.458835614025542,65,59,60,60,"LWB,LM,LB",LWB,Bosnia and Herzegovina,Jagiellonia Białystok,0
Aboubacar Keita,14.077874822431765,65,58,50,51,CB,CB,United States,Colorado Rapids,1
Liam Sercombe,13.217673557208654,65,63,65,65,CM,CM,England,Cheltenham Town,1
Fridolin Wagner,13.9108207377686,65,62,66,58,"CM,CAM,CDM",CM,Germany,SV Waldhof Mannheim 07,0
Joel Mvuka,14.346138809026444,65,50,71,56,"RW,LW",RM,Norway,FK Bodø/Glimt,0
Idriz Batha,13.304684934198283,65,62,64,62,"CDM,CM",CDM,Albania,AFC UTA Arad,0
Adriel Fernández,13.652991628466498,65,55,66,61,"LM,LB",LM,Bolivia,Club Deportivo Jorge Wilstermann,0
András Németh,14.346138809026444,65,58,65,44,ST,ST,Hungary,KRC Genk,1
Kasper Jørgensen,14.22097566607244,65,58,63,55,"RWB,RB,LB",RWB,Denmark,Lyngby BK,0
Andreas Poulsen,14.151982794585487,65,61,65,58,"LB,LM",LWB,Denmark,Aalborg BK,0
Diego José Conde Alcolado,14.151982794585487,65,63,68,63,GK,GK,Spain,Getafe CF,1
Tom Nichols,13.493926933836812,65,64,66,59,"ST,LW",CF,England,Crawley Town,0
Eamonn Brophy,13.652991628466498,65,60,66,59,ST,ST,Scotland,St. Mirren,1
Connal Trueman,13.560618308335483,65,56,68,60,GK,GK,England,Millwall,1
Taylor Moore,13.764217263576723,65,59,60,58,"CB,CDM",CB,England,Shrewsbury Town,0
Juan del Carmen Cámara Mesa,13.493926933836812,65,56,65,63,"RM,LM,CF",RM,Spain,Jagiellonia Białystok,0
Ernest Muçi,14.28551418721001,65,64,68,58,"CAM,LM,CF",CAM,Albania,Legia Warszawa,0
Bruno Leyes,14.28551418721001,65,63,68,59,"CM,CDM",CM,Argentina,Godoy Cruz,0
Franco Zapiola,14.403297222866392,65,52,65,65,"LM,CAM",RM,Argentina,Estudiantes de La Plata,0
Christophe Diedhiou,12.345834587905333,65,53,40,36,CB,CB,Senegal,US Quevilly Rouen Métropole,1
Marek Hanousek,13.304684934198283,65,66,50,59,"CDM,CM,CB",CDM,Czech Republic,Widzew Łódź,0
Romário Pereira Sipião,12.345834587905333,65,67,74,65,"CM,CDM",CAM,Brazil,Kalmar FF,0
Leonard Owusu,13.710150042306449,65,58,61,55,"CDM,CM",CDM,Ghana,Vancouver Whitecaps FC,0
Martin Doležal,13.262125319779487,65,62,62,42,ST,ST,Czech Republic,Zagłębie Lubin,1
Torgil Gjertsen,13.458835614025542,65,58,68,61,"RM,LM",RM,Norway,Kristiansund BK,0
Jonathan Lacerda,12.154779351142624,65,61,48,55,CB,CB,Uruguay,Montevideo Wanderers,1
Nikos Vergos,13.764217263576723,65,57,61,47,ST,ST,Greece,RZ Pellets Wolfsberger AC,1
Dominik Ernst,13.17115354157376,65,54,57,54,"RWB,RM",RWB,Germany,1. FC Saarbrücken,0
Bruno Miguel Santos Leite,13.623138665316818,65,65,66,62,CM,CM,Cape Verde Islands,FK Haugesund,1
Yong Joon Heo,13.493926933836812,65,63,63,61,"ST,LW",ST,Korea Republic,Pohang Steelers,0
Maximiliano González,14.28551418721001,65,57,60,56,"CDM,CM",CDM,Argentina,Club Atlético Lanús,0
Oguzhan Kefkir,13.458835614025542,65,64,66,61,"LM,RM",LM,Germany,Rot-Weiß Essen,0
Rashaan Fernandes,13.9108207377686,65,61,68,59,"RM,LM,ST",RM,Netherlands,Go Ahead Eagles,0
Alvaro Rodríguez Pérez,13.458835614025542,65,63,59,56,"RB,RWB",RB,Spain,Albacete BP,0
Dorian Bertrand,13.458835614025542,65,52,69,57,"LW,LM,RW",LW,Madagascar,Campionii FC Arges,0
Diego Osio,13.815510557964274,65,61,47,46,CB,CB,Venezuela,Caracas Fútbol Club,1
Renny Simisterra,13.815510557964274,65,57,64,55,ST,ST,Ecuador,Deportivo Táchira FC,1
Xinli Peng,13.422467969854667,65,63,67,65,"CM,CDM",CAM,China PR,Shanghai Shenhua FC,0
Jan Zwischenbrugger,13.071070083016778,65,61,51,53,CB,CB,Austria,SC Rheindorf Altach,1
Diallang Jaiyesimi,13.9108207377686,65,59,66,60,"RW,RWB",RM,England,Charlton Athletic,0
Tommaso Silvestri,13.262125319779487,65,59,43,39,CB,CB,Italy,Modena,1
Killian Sardella,14.22097566607244,65,58,71,63,"RB,LB",RWB,Belgium,RSC Anderlecht,0
Joseph Efford,13.764217263576723,65,70,63,60,ST,ST,United States,Motherwell,1
Birk Risa,13.790192749979985,65,64,64,60,"CB,LWB,LB",CB,Norway,Molde FK,0
Matías Morello,14.403297222866392,65,62,67,65,CM,CM,Argentina,Club Atlético Aldosivi,1
Charalambos Makridis,13.764217263576723,65,62,69,56,"CAM,ST",ST,Germany,SSV Jahn Regensburg,0
Ismael Ruiz Sánchez,14.346138809026444,65,66,62,61,"CDM,CM",CDM,Spain,UD Ibiza,0
Lewis Bate,14.403297222866392,65,59,67,67,"CM,CDM",CAM,England,Oxford United,0
Javier López-Pinto Dorado,14.28551418721001,65,56,67,59,"LM,RM",RM,Spain,Burgos CF,0
Miguel Pinto,11.289781913656018,65,65,66,64,GK,GK,Chile,Unión Española,1
Claudio Nuñez,13.681979165339751,65,60,57,48,"CB,RB",CB,Paraguay,Club Nacional,0
Ulrik Yttergård Jenssen,13.652991628466498,65,63,61,62,CB,CDM,Norway,FC Nordsjælland,0
Kevin Schumacher,13.9108207377686,65,61,66,57,LM,LM,Germany,F.C. Hansa Rostock,1
Jun Yub Kim,12.429216196844383,65,58,63,57,"RWB,RB",RWB,Korea Republic,Incheon United FC,0
Mihai Roman,13.458835614025542,65,61,59,54,ST,ST,Romania,FC Botoşani,1
Willian Vargas,13.737549016494562,65,61,60,55,"RB,RM",RB,Ecuador,Independiente del Valle,0
Lewis Fiorini,14.346138809026444,65,63,68,61,CM,CAM,Scotland,Blackpool,0
Julián López,14.28551418721001,65,64,71,63,"CM,CDM,CAM",CAM,Argentina,Defensa y Justicia,0
Alberto del Moral Saelices,14.22097566607244,65,62,60,59,"CDM,CM",CDM,Spain,Villarreal Club de Fútbol B,0
Plamen Iliev,13.071070083016778,65,55,70,64,GK,GK,Bulgaria,Universitatea Cluj,1
Luis Benjamin Paes Soares,13.422467969854667,65,61,42,47,"CB,LB",CB,Brazil,Santos,0
Pablo Sisniega,13.560618308335483,65,59,64,64,GK,GK,Mexico,Charlotte FC,1
Carlos Julio Martínez,13.38472764187182,65,65,61,54,"RB,LB",RB,Dominican Republic,Miedź Legnica,0
Anthony Barylla,13.652991628466498,65,63,60,58,"CB,RB,LB",CB,Germany,FC Erzgebirge Aue,0
James Belshaw,12.834681304952548,65,61,67,63,GK,GK,England,Bristol Rovers,1
Vicente Rodríguez,13.527828485512494,65,66,66,63,"CM,CDM",CM,Venezuela,Caracas Fútbol Club,0
Sung Geun Choi,13.304684934198283,65,60,62,58,"CDM,CM",CDM,Korea Republic,Suwon Samsung Bluewings,0
Saeed Al Muwallad,13.17115354157376,65,61,63,57,RB,RB,Saudi Arabia,Ettifaq FC,1
Wilson Allan Rosan Dourado,13.560618308335483,65,59,71,68,"CAM,LM",LM,Brazil,RB Bragantino,0
Petar Golubović,13.458835614025542,65,60,62,57,"RWB,CB",RWB,Serbia,Aalesunds FK,0
Kaly Sène,14.403297222866392,65,55,66,61,"ST,RM,RW",CAM,Senegal,FC Basel 1893,0
Juan David Mosquera,14.22097566607244,65,60,63,56,"RB,RM",RB,Colombia,Portland Timbers,0
Tim Rieder,13.345506928718539,65,62,53,51,"CDM,CB",CDM,Germany,TSV 1860 München,0
Séga Coulibaly,13.737549016494562,65,64,56,55,CB,CB,France,LA Galaxy,1
Žan Zaletel,14.077874822431765,65,62,52,44,CB,CB,Slovenia,Viborg FF,1
Yonas Malede,14.22097566607244,65,57,68,58,"ST,LW",ST,Israel,KV Mechelen,0
Nando Pijnaker,14.077874822431765,65,64,56,52,CB,CB,New Zealand,Sligo Rovers,1
John García,14.28551418721001,65,63,66,62,"LM,CAM,RM",CAM,Bolivia,Royal Pari,0
Odin Luraas Bjørtuft,13.815510557964274,65,63,51,52,CB,CB,Norway,Odds BK,1
Jordan Tillson,13.304684934198283,65,62,61,57,"CDM,CM,RM",CDM,England,Ross County FC,0
Andrés Souper,14.28551418721001,65,53,70,62,"CAM,CM",CAM,United States,CD Antofagasta,0
Tiago Miguel Hora Ribeiro,14.403297222866392,65,59,61,69,CDM,CM,Portugal,Valencia CF,0
Lucas Maciel Felix,14.151982794585487,65,63,60,58,"CDM,CM",CDM,Brazil,New England Revolution,0
Adriano Grimaldi,13.304684934198283,65,64,62,52,ST,ST,Germany,1. FC Saarbrücken,1
Junior Marabel,14.151982794585487,65,60,58,45,ST,ST,Paraguay,Unión de Santa Fe,1
Benjamin Nygren,14.151982794585487,65,60,66,65,"ST,RW",CAM,Sweden,FC Nordsjælland,0
Roel Janssen,13.071070083016778,65,61,57,55,CB,CB,Netherlands,Fortuna Sittard,1
João Sabino Mendes Neto Saraiva,13.527828485512494,65,64,66,65,"CM,CAM",CM,Portugal,GD Chaves,0
Louis Patris,14.22097566607244,65,59,57,59,"CB,RB",CB,Belgium,Oud-Heverlee Leuven,0
Terrence Dzvukamanja,13.493926933836812,65,64,64,51,"ST,LW,RW",ST,Zimbabwe,Orlando Pirates,0
Reum Yeo,13.017002861746503,65,58,65,66,CM,CM,Korea Republic,Incheon United FC,1
Kelechi John,13.790192749979985,65,52,51,39,CB,CB,Nigeria,Central Coast Mariners,1
Bahadır Güngördü,13.493926933836812,65,58,64,63,GK,GK,Turkey,MKE Ankaragücü,1
Kyrylo Melichenko,13.9108207377686,65,60,59,55,RB,RB,Ukraine,SG Dynamo Dresden,1
Paddy Lane,14.28551418721001,65,61,69,65,"CM,RW",CAM,Northern Ireland,Fleetwood Town,0
Brendan Wiredu,13.9108207377686,65,61,64,59,"CDM,CM",CDM,England,Fleetwood Town,0
Lukas Jäger,13.345506928718539,65,63,57,57,"CDM,RB",CDM,Austria,SC Rheindorf Altach,0
Marcelo André Veiga Lopes,13.493926933836812,65,60,65,60,"RM,CF,LM",RM,Cape Verde Islands,FC Voluntari,0
Geovanny Nazareno,12.429216196844383,65,68,61,57,"LB,LM,LWB",LB,Ecuador,9 de Octubre,0
Hussain Al Qahtani,13.527828485512494,65,61,66,64,"CM,CDM",CM,Saudi Arabia,Al Shabab,0
Eduardo Estevão Selneira Moura,12.388394202324129,65,66,60,62,"CDM,RB",CDM,Brazil,América Futebol Clube,0
Julian Krahl,14.151982794585487,65,53,71,58,GK,GK,Germany,1. FC Kaiserslautern,1
Zhongguo Chi,13.217673557208654,65,64,64,64,"CM,CDM",CM,China PR,Beijing Guoan FC,0
Bent Sørmo,13.681979165339751,65,58,62,56,"RB,CB,LB",RWB,Norway,SV Zulte Waregem,0
Nika Gagnidze,14.28551418721001,65,57,68,63,"CM,CDM,RM",CM,Georgia,Ümraniyespor,0
Rafael Arace,13.623138665316818,65,61,64,58,"ST,LM,RM",ST,Venezuela,Deportivo Táchira FC,0
Alexandru Benga,12.765688433465597,65,56,42,43,CB,CB,Romania,AFC UTA Arad,1
Berk Yıldız,13.652991628466498,65,49,66,59,"LW,LM",ST,Turkey,Adana Demirspor,0
Martijn Berden,13.790192749979985,65,57,68,57,RM,RM,Netherlands,Go Ahead Eagles,1
Tomás Escalante,13.9108207377686,65,65,68,63,CM,CAM,Argentina,Defensa y Justicia,0
Sebastian Jacob,13.493926933836812,65,60,66,55,"ST,CAM",ST,Germany,1. FC Saarbrücken,0
David Stec,13.38472764187182,65,55,63,56,RB,RB,Austria,Lechia Gdańsk,1
Hicham Mahou,14.22097566607244,65,57,66,59,"RM,ST,RWB",RM,France,FC Lugano,0
Rocky Bushiri,13.815510557964274,65,60,46,40,CB,CB,Belgium,Hibernian,1
Lenny Vallier,14.28551418721001,65,53,64,60,"LM,LB",LM,France,Chamois Niortais Football Club,0
Yun Liu,13.527828485512494,65,64,61,63,"RM,LM,RW",RM,China PR,Wuhan FC,0
Simon Sohm,14.22097566607244,65,56,62,59,"CDM,CM",CDM,Switzerland,Parma,0
Yanic Wildschut,13.458835614025542,65,59,67,59,LW,ST,Suriname,Oxford United,0
Sergio Ojeda,13.262125319779487,65,62,43,41,CB,CB,Argentina,Patronato,1
Antony Evans,13.9108207377686,65,62,67,65,"CM,CAM",RM,England,Bristol Rovers,0
Danny Andrew,13.17115354157376,65,60,62,62,"LB,LWB,CB",LB,England,Fleetwood Town,0
Miguel Puche García,14.28551418721001,65,62,67,62,"LM,RM",CAM,Spain,Real Zaragoza,0
Haolun Mi,13.345506928718539,65,58,63,57,"LB,LWB",LB,China PR,Shenzhen FC,0
Karamoko Dembélé,14.346138809026444,65,54,70,58,RW,RW,England,Stade Brestois 29,1
Lucas Buades,13.710150042306449,65,59,64,58,"RWB,RM",RM,France,Rodez Aveyron Football,0
