Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Art & Sculpture,1,32,0,0,32
Jewelry,1,32,0,0,32
Art & Sculpture,1,32,0,0,32
Kids,2,32,0,0,32
Kitchen,1,32,0,0,32
Kitchen,1,32,0,0,32
Soapstone,1,32,0,0,32
Soapstone,2,32,0,0,32
Kitchen,1,31.5,0,0,31.5
Kids,2,31.5,0,0,31.5
Kids,2,31.5,0,0,31.5
Kids,2,31.5,0,0,31.5
Art & Sculpture,1,36,-5,0,31
Soapstone,1,34,-3.4,0,30.6
Basket,1,34,-3.4,0,30.6
Christmas,1,34,-3.4,0,30.6
Jewelry,1,34,-3.4,0,30.6
Kids,1,34,-3.4,0,30.6
Music,2,34,-3.4,0,30.6
Kids,1,34,-3.41,0,30.59
Home Decor,1,76,-7.6,-38,30.4
Jewelry,1,32,-1.6,0,30.4
Kids,1,30,0,0,30
Kitchen,2,30,0,0,30
Kids,1,30,0,0,30
Jewelry,1,30,0,0,30
Kids,1,30,0,0,30
Soapstone,2,30,0,0,30
Fair Trade Gifts,1,30,0,0,30
Basket,1,34,-5.1,0,28.9
Kitchen,3,31.5,-2.62,0,28.88
Kitchen,1,32,-3.2,0,28.8
Kids,1,32,-3.2,0,28.8
Basket,2,34,-5.2,0,28.8
Accessories,1,32,-3.2,0,28.8
Home Decor,1,32,-3.2,0,28.8
Jewelry,1,32,-3.2,0,28.8
Basket,1,70,-7.2,-34,28.8
Kids,1,32,-3.2,0,28.8
Jewelry,1,28.5,0,0,28.5
Art & Sculpture,1,28,0,0,28
Basket,1,28,0,0,28
Jewelry,1,28,0,0,28
Kitchen,1,28,0,0,28
Kitchen,1,28,0,0,28
Jewelry,1,28,0,0,28
Soapstone,1,28,0,0,28
Jewelry,1,28,0,0,28
Art & Sculpture,1,28,0,0,28
Accessories,1,28,0,0,28
Jewelry,1,28,0,0,28
Jewelry,1,28,0,0,28
Jewelry,1,28,0,0,28
Kitchen,1,28,0,0,28
Jewelry,1,28,0,0,28
Jewelry,1,28,0,0,28
Christmas,1,28,0,0,28
Art & Sculpture,1,28,0,0,28
Jewelry,1,28,0,0,28
Jewelry,1,28,0,0,28
Jewelry,1,28,0,0,28
Basket,1,28,0,0,28
Basket,1,28,0,0,28
Basket,1,28,0,0,28
Jewelry,1,28,0,0,28
Kitchen,1,28,0,0,28
Basket,1,28,0,0,28
Jewelry,1,28,0,0,28
Jewelry,1,28,0,0,28
Basket,1,28,0,0,28
Basket,1,28,0,0,28
Art & Sculpture,1,28,0,0,28
Jewelry,1,28,0,0,28
Kitchen,1,28,0,0,28
Jewelry,1,28,0,0,28
Soapstone,1,28,0,0,28
Soapstone,1,28,0,0,28
Fair Trade Gifts,1,28,0,0,28
Accessories,1,28,0,0,28
Jewelry,1,28,0,0,28
Kids,1,28,0,0,28
Basket,1,28,0,0,28
Jewelry,1,68,-13.6,-27.2,27.2
Jewelry,1,34,-6.8,0,27.2
Kids,1,32,-4.81,0,27.19
Kids,1,30,-3,0,27
Kids,1,30,-3,0,27
,1,24,0,0,24
Jewelry,1,28,-1.85,0,26.15
Jewelry,1,26,0,0,26
Art & Sculpture,1,25.6,0,0,25.6
Recycled Art,1,28,-2.8,0,25.2
Basket,1,56,-2.8,-28,25.2
Soapstone,1,28,-2.8,0,25.2
Kids,1,28,-2.8,0,25.2
Kitchen,1,28,-2.8,0,25.2
Jewelry,1,28,-2.8,0,25.2
Kitchen,1,28,-2.8,0,25.2
Kitchen,1,28,-2.8,0,25.2
Basket,1,84,-2.8,-56,25.2
Basket,1,28,-2.81,0,25.19
Art & Sculpture,2,26.4,-1.32,0,25.08
Fair Trade Gifts,1,25,0,0,25
Recycled Art,1,25,0,0,25
Art & Sculpture,1,24,0,0,24
Jewelry,1,24,0,0,24
Basket,1,24,0,0,24
Soapstone,1,24,0,0,24
Soapstone,1,24,0,0,24
Kitchen,1,24,0,0,24
Fair Trade Gifts,2,24,0,0,24
Jewelry,1,24,0,0,24
Art & Sculpture,1,24,0,0,24
Textiles,1,24,0,0,24
Art & Sculpture,1,24,0,0,24
Kitchen,1,24,0,0,24
Kitchen,1,24,0,0,24
Kids,1,24,0,0,24
Basket,1,24,0,0,24
Art & Sculpture,1,24,0,0,24
Accessories,1,24,0,0,24
Fair Trade Gifts,2,24,0,0,24
Fair Trade Gifts,1,24,0,0,24
Basket,1,28,-4.52,0,23.48
Art & Sculpture,1,26,-2.59,0,23.41
Art & Sculpture,1,26,-2.6,0,23.4
Kitchen,1,24,-1.39,0,22.61
Jewelry,1,28,-5.6,0,22.4
Jewelry,1,22,0,0,22
Kitchen,1,22,0,0,22
Jewelry,1,22,0,0,22
Kitchen,1,22,0,0,22
Jewelry,1,22,0,0,22
Jewelry,1,22,0,0,22
Music,1,22,0,0,22
Art & Sculpture,1,22,0,0,22
Soapstone,1,22,0,0,22
Art & Sculpture,1,22,0,0,22
Fair Trade Gifts,1,22,0,0,22
Art & Sculpture,1,22,0,0,22
Kitchen,1,22,0,0,22
Christmas,1,22,0,0,22
Art & Sculpture,1,22,0,0,22
Accessories,1,22,0,0,22
Art & Sculpture,1,24,-2.4,0,21.6
Home Decor,1,24,-2.4,0,21.6
Kids,1,24,-2.4,0,21.6
Soapstone,1,24,-2.4,0,21.6
Kitchen,2,22.5,-1.05,0,21.45
Recycled Art,1,25,-3.75,0,21.25
Fair Trade Gifts,1,25,-3.75,0,21.25
Soapstone,1,21,0,0,21
Soapstone,2,20,0,0,20
Jewelry,2,20,0,0,20
Christmas,1,20,0,0,20
Music,1,20,0,0,20
Kitchen,1,22,-2.2,0,19.8
Kitchen,1,22,-2.2,0,19.8
Jewelry,1,22,-2.21,0,19.79
Gift Baskets,1,19.5,0,0,19.5
Skin Care,1,18.5,0,0,18.5
Skin Care,1,18.5,0,0,18.5
Kids,1,18,0,0,18
Kids,1,18,0,0,18
Christmas,1,18,0,0,18
Kids,1,18,0,0,18
Art & Sculpture,1,18,0,0,18
Art & Sculpture,1,18,0,0,18
Christmas,1,18,0,0,18
Kitchen,1,18,0,0,18
Art & Sculpture,1,18,0,0,18
Soapstone,1,18,0,0,18
Art & Sculpture,1,18,0,0,18
Art & Sculpture,1,18,0,0,18
Christmas,1,18,0,0,18
Kitchen,1,18,0,0,18
Christmas,1,18,0,0,18
Soapstone,1,18,0,0,18
Kids,1,18,0,0,18
Christmas,1,18,0,0,18
Kitchen,1,18,0,0,18
Jewelry,1,18,0,0,18
Fair Trade Gifts,1,18,0,0,18
Kids,1,18,0,0,18
Kitchen,1,18,0,0,18
Jewelry,1,18,0,0,18
Kitchen,1,18,0,0,18
Home Decor,1,18,0,0,18
Art & Sculpture,1,18,0,0,18
Soapstone,1,18,0,0,18
Art & Sculpture,1,18,0,0,18
Kids,1,18,0,0,18
Kitchen,1,18,0,0,18
Jewelry,1,18,0,0,18
Jewelry,1,18,0,0,18
Art & Sculpture,1,18,0,0,18
Kitchen,1,18,0,0,18
Soapstone,1,18,0,0,18
Skin Care,1,18.5,-1.85,0,16.65
Music,1,16.5,0,0,16.5
Kitchen,1,16.5,0,0,16.5
Kitchen,1,18,-1.8,0,16.2
Soapstone,1,18,-1.8,0,16.2
Music,1,18,-1.8,0,16.2
Kitchen,1,18,-1.8,0,16.2
Music,1,18,-1.8,0,16.2
Christmas,1,18,-1.81,0,16.19
Kids,1,16,0,0,16
Kitchen,1,16,0,0,16
Kitchen,1,16,0,0,16
Music,1,16,0,0,16
Music,1,32,-1.6,-14.4,16
Music,1,16,0,0,16
Kitchen,1,16,0,0,16
Soapstone,1,16,0,0,16
Soapstone,1,18,-2.31,0,15.69
Jewelry,1,16,-1.6,0,14.4
Art & Sculpture,1,16,-1.6,0,14.4
Soapstone,1,18,-3.6,0,14.4
Soapstone,1,14,0,0,14
Art & Sculpture,1,14,0,0,14
Soapstone,1,14,0,0,14
Kitchen,1,14,0,0,14
Jewelry,1,14,0,0,14
Soapstone,1,13.5,0,0,13.5
Art & Sculpture,1,13.2,0,0,13.2
Jewelry,1,12,0,0,12
Soapstone,1,12,0,0,12
Kitchen,1,12,0,0,12
Fair Trade Gifts,1,12,0,0,12
,1,10.5,0,0,10.5
Soapstone,0,26,0,-26,0
Basket,0,34,0,-34,0
Basket,0,48,0,-48,0
Textiles,0,1,0,-1,0
Basket,0,195,0,-195,0
Basket,0,28,0,-28,0
Kitchen,0,32,-3.21,-28.79,0
Christmas,0,380,0,-380,0
Kitchen,0,28,-2.81,-25.19,0
Jewelry,0,28,0,-28,0
Basket,0,116,-23.2,-92.8,0
Kitchen,0,16.5,0,-16.5,0
Kitchen,-1,0,0,-106.25,-106.25
