,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser
5116,Citizens: A Chronicle of the French Revolutio,Simon Schama,3.99,other,825.0,90,12,8/5/2004,Penguin,-,0
5117,The Feelings Book: The Care & Keeping of Your Emotion,Lynda Madison/Bonnie Timmons/Norm Bendell,4.16,eng,104.0,782,51,9/1/2002,American Girl Publishing Inc,-,0
5118,A Smart Girl's Guide to Money: How to Make It  Save It  And Spend I,Nancy Holyoke/Ali Douglass,,other,95.0,536,65,3/1/2006,American Girl Publishing Inc,-,0
5119,What Would You Do?,Patti Kelley Criswell/Norm Bendell,4.26,other,63.0,77,5,7/1/2004,American Girl Publishing Inc,-,0
5120,The Halloween Activity Book: Creepy  Crawly  Hairy  Scary Things to D,Mymi Doinet/Benjamin Chaud,,eng,32.0,1,1,8/1/2002,Chronicle Books,-,0
5121,The Capricorn Ston,Madeleine Brent,3.91,eng,346.0,574,33,5/12/1983,Fawcett,-,0
5122,Golden Urchi,Madeleine Brent,,other,384.0,66,10,11/12/1987,Fawcett,-,0
5123,The Ethics of Ambiguit,Simone de Beauvoir/Bernard Frechtman,4.15,eng,,4114,153,6/1/2000,Citadel,-,0
5124,She Came to Sta,Simone de Beauvoir,3.91,other,416.0,2040,88,10/9/1995,Flamingo,-,0
5125,The Coming of Ag,Simone de Beauvoir/Patrick O'Brian,3.88,other,592.0,227,14,6/17/1996,W. W. Norton  Company,-,0
5126,A Transatlantic Love Affair: Letters to Nelson Algre,Simone de Beauvoir/Nelson Algren/Sylvie Le Bon de Beauvoir/Vanessa Kling/Ellen Gordon Reeves,4.01,eng,560.0,235,16,9/1/1999,The New Press,-,0
5127,La force de l'âg,Simone de Beauvoir,4.15,other,,192,17,11/14/1986,Folio,-,0
5128,What Life Was Like When Rome Ruled the World: The Roman Empire  100 BC - AD 200,Time-Life Books,3.85,eng,192.0,91,9,5/24/1999,Time Life Medical,-,0
5129,Sudden Fiction International: 60 Short-Short Storie,Robert Shapard/James Thomas,3.76,other,352.0,306,29,10/17/1989,W. W. Norton  Company,-,0
5130,Sudden Fiction: American Short-Short Storie,Robert Shapard/James Thomas,3.84,eng,264.0,476,48,12/31/1983,Gibbs Smith,-,0
5131,Sarah Bernhard,Elizabeth Silverthorne/Betty McCollum,4.25,eng,,4,0,1/1/2004,Chelsea House Publishers,-,0
5132,The Art of Controversy,Thomas Bailey Saunders,3.85,eng,,17,3,6/17/2004,Kessinger Publishing,-,0
5133,The Wisdom of Lif,Arthur Schopenhauer/Thomas Bailey Saunders,4.14,eng,96.0,1487,77,3/8/2004,Dover Publications,-,0
5134,For All Time,Caroline B. Cooney,3.9,eng,,1618,65,7/8/2003,Laurel Leaf Library,Time Travelers,4
5135,Wanted,Caroline B. Cooney,3.69,other,230.0,1969,193,7/1/1997,Scholastic Paperbacks,-,0
5136,The Time Travelers: Volume On,Caroline B. Cooney,3.94,other,420.0,302,29,1/10/2006,Laurel Leaf,-,0
5137,Every Night Italian: Every Night Italia,Giuliano Hazan/Marcella Hazan/Dana Gallagher,3.79,eng,256.0,70,2,1/12/2000,Scribner,-,0
5138,More Classic Italian Cookin,Marcella Hazan,4.48,eng,465.0,64,3,7/12/1984,Ballantine Books,-,0
5139,Practice Makes Perfect: Italian Verb Tense,Paola Nanni-Tate,,eng,252.0,9,1,11/23/2005,McGraw-Hill Companies,-,0
5140,Effigies,Mary Anna Evans,4.03,eng,301.0,460,47,1/15/2007,Poisoned Pen Press,Faye Longchamp,3
5141,The Cambridge Companion to Schopenhaue,Christopher Janaway,3.83,eng,494.0,23,3,1/20/2000,Cambridge University Press,-,0
5142,Stormie: A Story of Forgiveness and Healin,Stormie Omartian,,eng,192.0,430,44,9/1/1997,Harvest House Publishers,-,0
5143,The Orion Mystery: Unlocking the Secrets of the Pyramid,Robert Bauval/Adrian Geoffrey Gilbert,3.94,eng,352.0,1123,36,8/22/1995,Three Rivers Press,-,0
5144,Orion,Ben Bova,3.72,eng,432.0,1386,54,12/15/1992,Tor Science Fiction,Orion,1
5145,Lake Orion,James E. Ingram/Lori Grove,4.5,eng,128.0,1,0,7/19/2006,Arcadia Publishing,-,0
5146,Rick Steves' Europe Through the Back Doo,Rick Steves,4.24,eng,808.0,3569,70,9/12/2017,Avalon Travel,-,0
5147,A Dangerous Man,Charlie Huston,4.07,eng,,2735,162,9/19/2006,Ballantine Books,Hank Thompson,3
5148,Already Dead,Charlie Huston,3.79,other,,8447,631,12/27/2005,Del Rey,Joe Pitt,1
5149,Caught Stealing,Charlie Huston,4.04,eng,240.0,4797,431,5/31/2005,Ballantine Books,Hank Thompson,1
5150,Ultimate Annuals  Volume,Charlie Huston/Mike Carey/Brian Michael Bendis/Robert Kirkman/Mike Deodato/Ryan Sook/Stuart Immonen/Frazier Irving,3.21,eng,160.0,105,8,2/7/2007,Marvel,-,0
5151,Dead I Well May Be,Adrian McKinty,3.97,eng,384.0,2594,243,8/31/2004,,Dead Trilogy,1
5152,The Dead Yard,Adrian McKinty,4.12,eng,364.0,1506,101,12/26/2006,Pocket Books,Michael Forsythe,2
5153,The Lighthouse Land,Adrian McKinty,3.6,eng,,861,114,10/1/2006,Harry N. Abrams,Lighthouse Trilogy,1
5154,Spider Mountain,P.T. Deutermann,3.92,eng,309.0,461,41,12/26/2006,St. Martin's Press,Cam Richter,2
5155,The Edge of Hono,P.T. Deutermann,3.97,eng,626.0,168,16,5/15/1995,St. Martin's Paperbacks,-,0
5156,The Firefl,P.T. Deutermann,3.77,eng,528.0,317,31,11/30/2004,St. Martin's Paperbacks,-,0
5157,Diary of a Spide,Doreen Cronin/Harry Bliss,4.25,other,40.0,8134,292,7/26/2005,HarperCollins,-,0
5158,The Snow Spider,Jenny Nimmo,,other,,2762,228,9/1/2006,Orchard Books (NY),Snow Spider Trilogy,1
5159,Ultimate Spider-Man  Volume 16: Deadpoo,Brian Michael Bendis/Mark Bagley,3.7,eng,184.0,1474,58,9/13/2006,Marvel,-,0
5160,Ultimate Spider-Man  Volume,Brian Michael Bendis/Mark Bagley,4.1,eng,344.0,272,9,10/4/2006,Marvel,-,0
5161,Fables: 1001 Nights of Snowfal,Bill Willingham/Esao Andrews/John Bolton/Mark Buckingham/James Jean/Derek Kirk Kim/Tara  McPherson/Jill Thompson/Mark Wheatley/Michael Wm. Kaluta/Charles Vess/Brian Bolland,4.14,eng,140.0,13759,538,10/18/2006,Vertigo,-,0
5162,Cold Fire / Hideaway / The Key to Midnigh,Dean Koontz/Leigh Nichols,4.18,eng,,19670,13,8/28/2000,Putnam Adult,-,0
5163,Fables  Vol. 8: Wolve,Bill Willingham/Mark Buckingham/Steve Leialoha/Shawn McManus/Andrew Pepoy,,eng,160.0,18799,568,12/20/2006,Vertigo,-,0
5164,Fables  Vol. 4: March of the Wooden Soldier,Bill Willingham/Mark Buckingham/Craig Hamilton/Steve Leialoha/P. Craig Russell,4.29,eng,231.0,26055,785,11/30/2004,,-,0
5165,Fables  Vol. 1: Legends in Exil,Bill Willingham/Terry Moore/Mike Allred/Lan Medina/Mark Buckingham/Matthew Sturges/Steve Leialoha/Craig Hamilton/Russ Braun/James Jean/Tony Akins/Eric Shanower/Shawn McManus/Jae Lee/Chrissie Zullo/David Petersen,3.97,eng,,119292,2866,12/31/2002,Vertigo,-,0
5166,Fables  Vol. 7: Arabian Nights,Bill Willingham/Mark Buckingham/Steve Leialoha/Jim Fern/Jimmy Palmiotti/Andrew Pepoy,,eng,143.0,15575,547,7/5/2006,Vertigo,-,0
5167,Fables  Vol. 6: Homeland,Bill Willingham/David Hahn/Mark Buckingham/Lan Medina/Steve Leialoha,4.28,eng,190.0,21472,637,1/27/2006,Vertigo,-,0
5168,Fables  Vol. 3: Storybook Lov,Bill Willingham/Bryan Talbot/Lan Medina/Mark Buckingham/Linda Medley/Steve Leialoha/James Jean,4.13,eng,,32814,906,5/1/2004,Vertigo,-,0
5169,Fables  Vol. 5: The Mean Season,Bill Willingham/Mark Buckingham/Steve Leialoha/Tony Akins/Jimmy Palmiotti,4.19,eng,166.0,20703,611,4/30/2005,Vertigo,-,0
5170,The Choice: A Fable of Free Trade and Protectionis,Russell Roberts/Russ Roberts,3.75,eng,132.0,350,31,9/1/2006,Pearson,-,0
5171,Brewer's Dictionary of Phrase and Fabl,John Ayto,4.38,other,,40,4,8/15/2006,Collins Reference,-,0
5172,Jack of Fables  Vol. 1: The,Bill Willingham/Matthew Sturges/Tony Akins/Andrew Pepoy,3.58,eng,128.0,4372,271,2/28/2007,Vertigo,-,0
5173,Math Fable,Greg Tang/Heather Cahoon,4.03,eng,40.0,0,0,1/1/1949,Scholastic Inc.,-,0
5174,The Five Dysfunctions of a Team: A Leadership Fabl,Patrick Lencioni,4.04,eng,227.0,65444,2866,4/11/2002,Jossey-Bass,-,0
5175,Seize the Night,Dean Koontz/Keith Szarabajka,4.08,eng,12.0,23534,390,12/29/1998,Random House Audio Publishing Group,Moonlight Bay,2
5176,The Good Gu,Dean Koontz/Richard Ferrrone,,eng,9.0,115,24,5/29/2007,Random House Audio Publishing Group,-,0
5177,3rd Degre,James Patterson/Andrew Gross/Carolyn McCormick,4.02,eng,7.0,76,9,3/1/2004,Hachette Audio,-,0
5178,The Big Bad Wol,James Patterson/Peter J. Fernandez/Denis O'Hare,3.99,eng,8.0,101,13,11/1/2003,Little  Brown & Company,-,0
5179,Pop Goes the Wease,James Patterson/Roger Rees/Keith David,4.0,other,460.0,49,5,11/13/2006,Little  Brown & Company,-,0
5180,The Winds of War,Herman Wouk,4.37,eng,896.0,47239,1251,2/5/2002,Back Bay Books,The Henry Family,1
5181,Hollywood Station,Joseph Wambaugh,3.73,other,340.0,2104,220,1/3/2007,Little Brown and Company,Hollywood Station,1
5182,The Choirboy,Joseph Wambaugh,4.06,eng,368.0,4227,126,4/18/2002,Orion,-,0
5183,Fire Lover: A True Stor,Joseph Wambaugh,3.72,eng,352.0,840,113,4/30/2002,William Morrow,-,0
5184,Floater,Joseph Wambaugh,3.52,eng,,567,38,3/3/1997,,-,0
5185,The New Centurion,Joseph Wambaugh,3.94,eng,368.0,2180,66,3/1/1987,Dell,-,0
5186,The Black Marbl,Joseph Wambaugh,3.83,other,,936,45,9/2/1998,Dell,-,0
5187,The Secrets of Harry Brigh,Joseph Wambaugh,,eng,307.0,605,26,5/7/1987,Sphere,-,0
5188,Lines and Shadow,Joseph Wambaugh,,other,,680,43,11/1/1995,Bantam,-,0
5189,Hollywood Tough,Stephen J. Cannell/Paul Michael/Michael Prichard,3.86,eng,10.0,825,49,1/7/2003,Macmillan Audio,Shane Scully,3
5190,Cold Hit,Stephen J. Cannell/Scott Brick,,eng,,15,6,8/1/2005,Macmillan Audio,Shane Scully,5
5191,Trunk Music,Michael Connelly/Dick Hill,,eng,13.0,126,26,11/28/2006,Brilliance Audio,Harry Bosch,5
5192,Angels Flight,Michael Connelly/Dick Hill,4.18,eng,,106,20,7/25/2005,Brilliance Audio,Harry Bosch,6
5193,The Black Echo,Michael Connelly/Dick Hill,,eng,12.0,209,54,11/25/2006,Brilliance Audio,Harry Bosch,1
5194,The Closers,Michael Connelly/Len Cariou,4.13,eng,12.0,198,28,5/1/2005,Hachette Audio,Harry Bosch,11
5195,Echo Park,Michael Connelly/Len Cariou,4.12,eng,11.0,174,35,10/9/2006,Little  Brown & Company,Harry Bosch,12
5196,The Poet,Michael Connelly/Buck Schirner,4.2,eng,15.0,115,33,6/25/2006,Brilliance Audio,Jack McEvoy,1
5197,The Concrete Blonde,Michael Connelly/Dick Hill,4.16,other,12.0,132,28,5/25/2005,Brilliance Audio,Harry Bosch,3
5198,The Best American Mystery Stories 200,Michael Connelly/Otto Penzler,3.6,eng,1.0,5,2,11/4/2003,Mariner Books,-,0
5199,Chance,Robert B. Parker/Burt Reynolds,4.1,other,4.0,13,2,4/1/1996,Audio Literature,Spenser,23
5200,The Accidental Time Machin,Joe Haldeman,3.7,eng,278.0,6572,660,8/7/2007,Ace,-,0
5201,A Separate War and Other Storie,Joe Haldeman/Connie Willis,3.68,other,,342,35,8/1/2006,Ace Books,-,0
5202,The Forever War,Joe Haldeman,4.15,eng,278.0,108783,4005,9/2/2003,Voyager,The Forever War,1
5203,Worlds Enough and Time,Joe Haldeman,3.7,eng,332.0,336,13,5/1/1992,William Morrow & Company,Worlds,3
5204,The Comin,Joe Haldeman,,eng,,690,71,11/1/2001,Ace,-,0
5205,Forever Peace,Joe Haldeman,,eng,351.0,16338,422,10/1/1998,Ace Books,The Forever War,2
5206,Dealing in Future,Joe Haldeman,3.73,other,352.0,193,12,11/1/1993,Roc,-,0
5207,Study War No More: A Selection of Alternative,Joe Haldeman/William Nabors/Harry Harrison/Damon Knight/Harlan Ellison/Ben Bova/Poul Anderson/Isaac Asimov/Mack Reynolds/Alec Effinger,3.56,eng,323.0,97,2,10/1/1978,,-,0
5208,Not of Woman Bor,Constance Ash/Nina Kiriki Hoffman/Patricia A. McKillip/Walter Jon Williams/Debra Doyle/James D. Macdonald/Kara Dalkey/Michael Armstrong/Richard Parks/Sage Walker/Susan Palwick/William F. Wu/Jack McDevitt/Janni Lee Simner/Robert Silverberg,3.82,eng,288.0,60,11,3/1/1999,Roc,-,0
5209,Worlds Apart,Joe Haldeman,3.69,eng,227.0,485,8,6/28/1992,Avon Books (AvoNova),-,0
5210,Train_man  Volume 3,Hidenori Hara/Hitori Nakano,3.94,eng,200.0,102,15,2/13/2007,VIZ Media LLC,-,0
5211,Mystic Rive,Dennis Lehane,4.18,eng,416.0,109447,2859,2/1/2001,William Morrow Paperbacks,-,0
5212,Coronado: Storie,Dennis Lehane,3.38,eng,240.0,2907,261,8/8/2006,William Morrow,-,0
5213,Prayers for Rain,Dennis Lehane,4.09,eng,375.0,16329,619,5/2/2000,HarperTorch,Kenzie & Gennaro,5
5214,A Drink Before the War,Dennis Lehane,3.95,eng,282.0,29089,1523,9/15/2003,Mariner Books,Kenzie & Gennaro,1
5215,Shutter Islan,Dennis Lehane,4.09,eng,369.0,134985,6300,4/27/2004,HarperTorch,-,0
5216,The Black Dahlia,James Ellroy,3.75,eng,348.0,70771,1815,8/16/2006,Mysterious Press,L.A. Quartet,1
5217,The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angele,Donald H. Wolfe,,other,448.0,635,57,9/5/2006,Harper Paperbacks,-,0
5218,Corroborating Evidence: The Black Dahlia Murde,William T. Rasmussen,3.39,eng,234.0,12,1,10/30/2005,Sunstone Press,-,0
5219,Childhood Shadows: The Hidden Story of the Black Dahlia Murde,Mary  Pacios,3.5,eng,292.0,50,4,12/19/1999,Authorhouse,-,0
5220,Triptych,Karin Slaughter,4.13,eng,393.0,42325,2011,8/15/2006,Delacorte Press,Will Trent,1
5221,Blindsighted,Karin Slaughter,4.09,eng,418.0,53996,2171,10/1/2002,HarperTorch,Grant County,1
5222,Kisscut,Karin Slaughter,4.09,eng,436.0,25675,1096,9/30/2003,HarperTorch,Grant County,2
5223,Beyond Reach,Karin Slaughter,4.19,eng,404.0,19136,979,7/31/2007,,Grant County,6
5224,A Faint Cold Fear,Karin Slaughter,4.08,eng,422.0,25119,900,7/27/2004,Harper,Grant County,3
5225,Faithless,Karin Slaughter,4.12,other,549.0,21130,708,7/25/2006,Dell Publishing Company,Grant County,5
5226,Like A Char,Karin Slaughter/Peter Robinson/John Connolly/Denise Mina/Mark Billingham,3.48,other,,22,4,5/26/2015,William Morrow Paperbacks,-,0
5227,Like a Char,Karin Slaughter/Denise Mina/John Harvey/Kelley Armstrong/John Connolly/Emma Donoghue/Jane Haddam/Laura Lippman/Peter Robinson/Fidelis Morgan/Peter Moore Smith/Lynda La Plante/Jerrilyn Farmer/Lee Child/Mark Billingham,3.48,eng,,1322,88,6/3/2004,Arrow,-,0
5228,The Enemy,Lee Child/Dick Hill,,eng,14.0,178,35,5/11/2004,,Jack Reacher,8
5229,The Visitor,Lee Child/Hayward Morse/Garrick Hagon,,eng,15.0,4,0,10/1/2004,Soundings,Jack Reacher,4
5230,Tripwire,Lee Child/Dick Hill,4.09,eng,3.0,16,3,7/8/1999,Nova Audio Books,Jack Reacher,3
5231,Killing Floor,Lee Child/Dick Hill,4.05,other,3.0,124,27,4/10/2004,Brilliance Audio,Jack Reacher,1
5232,Without Fail,Lee Child/Dick Hill,4.15,eng,,64395,1617,5/17/2002,Brilliance Audio,Jack Reacher,6
5233,One Shot,Lee Child/Dick Hill,4.21,eng,12.0,138,26,6/14/2005,Brilliance Audio,Jack Reacher,9
5234,Bad Luck and Trouble,Lee Child,,eng,13.0,53,15,5/15/2007,Random House Audio,Jack Reacher,11
5235,Echo Burning,Lee Child,4.01,eng,,40,14,2/28/2007,Brilliance Audio,Jack Reacher,5
5236,Blood on the Moon: The Assassination of Abraham Lincol,Edward Steers Jr.,4.13,eng,,497,58,10/1/2005,University Press of Kentucky,-,0
5237,The Blood of the Moon: Understanding the Historic Struggle Between Islam and Western Civilizatio,George Grant,3.69,eng,,70,8,12/16/2001,Thomas Nelson,-,0
5238,Blood on the Moon,James Ellroy,3.44,eng,272.0,1612,100,5/10/2005,Vintage,Lloyd Hopkins,1
5239,Blood Moon Over Benga,Morag McKendrick Pippin,,eng,,20,6,10/1/2004,Leisure Books,-,0
5240,Blood Moon Over Britai,Morag McKendrick Pippin,3.44,eng,323.0,17,4,12/1/2005,Leisure Books,-,0
5241,The Silent Gondolier,William Goldman,3.81,eng,128.0,1339,136,1/2/2001,Del Rey,-,0
5242,The Season: A Candid Look at Broadwa,William Goldman,4.1,eng,448.0,291,35,7/1/2004,Limelight,-,0
5243,Hea,William Goldman,,eng,244.0,242,17,9/1/1986,Warner Books (NY),-,0
5244,Tinse,William Goldman,3.19,eng,399.0,258,14,6/15/1980,Dell,-,0
5245,William Goldman: Four Screenplay,William Goldman,4.29,other,,17,1,5/1/2000,Applause Books,-,0
5246,The Princess Brid,William Goldman,4.26,eng,456.0,703676,13878,7/15/2003,,-,0
5247,Hype and Glor,William Goldman/P. Gethers,3.67,eng,306.0,129,14,3/13/1991,Villard,-,0
5248,La princesa prometid,William Goldman,4.26,other,,39,7,6/14/2005,Planeta Publishing,-,0
5249,Boys and Girls Togethe,William Goldman,3.67,eng,768.0,753,59,7/31/2001,Ballantine Books,-,0
5250,Wait Till Next Year: The Story of a Season When What Should've Happened Didn't  and What Could've Gone Wrong Di,William Goldman/Mike Lupica,3.94,other,363.0,90,11,11/1/1988,Bantam,-,0
5251,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventur,William Goldman,,eng,283.0,460,73,9/1/1973,Harcourt  Brace  Jovanovich,-,0
5252,Creeper,David Morrell,3.66,other,388.0,4513,515,9/26/2005,CDS Books,-,0
5253,The Tote,David Morrell,3.58,eng,448.0,1152,76,4/1/2003,Grand Central Publishing,-,0
5254,The League of Night and Fog,David Morrell,4.1,eng,448.0,2564,64,4/1/2003,Grand Central Publishing,Mortalis,3
5255,Scavenger,David Morrell,3.6,eng,,1760,190,3/13/2007,Vanguard Press,Frank Balenger,2
5256,The Fraternity of the Stone,David Morrell,4.16,eng,448.0,2646,68,7/16/1992,Headline,Mortalis,2
5257,The Brotherhood of the Rose,David Morrell,4.14,eng,416.0,5422,163,7/16/1992,Headline Book Publishing,Mortalis,1
5258,The Protector,David Morrell,3.94,eng,401.0,2222,80,5/19/2003,Warner Books (NY),Cavanaugh,1
5259,Assumed Identit,David Morrell,3.78,eng,512.0,1118,46,9/1/1994,Vision,-,0
5260,Double Imag,David Morrell,3.55,other,510.0,3,1,4/10/2002,Le Livre de Poche,-,0
5261,La Cinquième professio,David Morrell,3.99,other,,9,2,6/1/1992,Le Livre de Poche,-,0
5262,The Last Kingdom,Bernard Cornwell/Jamie Glover,4.25,eng,6.0,16,1,7/25/2006,HarperAudio,The Saxon Stories,1
5263,Black Light,Stephen Hunter/Beau Bridges,,other,4.0,17,0,5/1/1996,Random House Audio Publishing Group,Bob Lee Swagger,2
5264,Bevor es Nacht wird. Ein Leben in Havann,Reinaldo Arenas,4.17,other,400.0,16,2,7/1/2002,dtv,-,0
5265,Relic,Douglas Preston/Lincoln Child,,eng,473.0,152,41,2/25/2007,Brilliance Audio,Pendergast,1
5266,Tyrannosaur Canyo,Douglas Preston/Scott Sowers,3.8,eng,12.0,79,18,8/23/2005,MacMillan Audio,-,0
5267,The Devil in the White City: Murder  Magic  and Madness at the Fair That Changed Americ,Erik Larson/Tony Goldwyn,3.99,eng,447.0,421575,23793,2/11/2003,Random House Audio Publishing Group,-,0
5268,King Icah,Mark      Stevens/Carol Bloom Stevens,,eng,336.0,35,1,6/1/1993,Dutton Books,-,0
5269,The Sicilia,Mario Puzo,3.97,eng,,16557,502,5/1/2001,Ballantine Books,-,0
5270,The Dark Aren,Mario Puzo,3.35,eng,288.0,1554,54,5/1/2001,Ballantine Books,-,0
5271,Omert,Mario Puzo,3.71,eng,369.0,12374,330,5/1/2001,Ballantine Books,-,0
5272,Fools Di,Mario Puzo,3.72,eng,544.0,5197,215,10/1/1979,Signet,-,0
5273,The Godfathe,Mario Puzo/Peter Bart/Robert Thompson,4.37,eng,448.0,180,17,10/4/2005,,-,0
5274,The Fortunate Pilgri,Mario Puzo,3.83,eng,304.0,3232,222,9/28/2004,Ballantine Books,-,0
5275,On the Road to Perdition — Oasis  Sanctuary  and Detour —,Max Allan Collins/José Luis García-López/Steve Lieber/Josef Rubinstein/Rob Leigh/Bob Lappan,3.66,eng,294.0,168,14,12/1/2004,DC Comics,Road to Perdition,2
5276,Oasis,Max Allan Collins/Steve Lieber/Josef Rubinstein/Rob Leigh/José Luis García-López/Bob Lappan,,eng,96.0,76,5,5/1/2003,DC Comics,On the Road to Perdition,1
5277,Double Dealer,Max Allan Collins/Mike Flaherty,3.67,other,320.0,1029,53,4/1/2003,Pocket Books,CSI: Crime Scene Investigation,1
5278,The London Blitz Murders,Max Allan Collins,3.72,eng,,209,35,5/4/2004,Berkley,Disaster Series,5
5279,The Last Quarry,Max Allan Collins,3.93,eng,201.0,673,68,8/1/2006,Hard Crime Case,Quarry,7
5280,Snake Eyes,Max Allan Collins,3.77,other,288.0,457,18,9/1/2006,Pocket Star,CSI: Crime Scene Investigation,8
5281,A Killing in Comics,Max Allan Collins/Terry Beatty,3.65,eng,272.0,151,29,5/1/2007,Berkley Trade,Jack & Maggie Starr,1
5282,The War of the Worlds Murder,Max Allan Collins,3.71,eng,256.0,196,38,7/5/2005,Berkley,Disaster Series,6
5283,From a Buick,Stephen King,3.45,eng,,53587,1330,9/24/2002,Scribner,-,0
5284,Jurassic Par,Michael Crichton,4.02,other,400.0,27,5,6/23/1997,Ballantine Books,-,0
5285,Binar,John Lange,3.53,eng,,94,10,12/31/1972,Alfred A. Knopf,-,0
5286,Un train d'or pour la Crimé,Michael Crichton,3.86,other,342.0,16,3,1/13/1999,Pocket,-,0
5287,The Voices of Morebath: Reformation and Rebellion in an English Villag,Eamon Duffy,3.69,eng,,361,39,8/11/2003,Yale University Press,-,0
5288,Imperial Life in the Emerald City: Inside Iraq's Green Zon,Rajiv Chandrasekaran,4.02,eng,320.0,4545,477,9/19/2006,Knopf,-,0
5289,Betrayal of Trust: The Collapse of Global Public Healt,Laurie Garrett/Steven M. Wolinsky,4.12,eng,768.0,1126,50,8/15/2001,Hachette Books,-,0
5290,Crash Proof: How to Profit from the Coming Economic Collaps,Peter D. Schiff/John Downes,3.78,eng,272.0,1086,89,2/1/2007,John Wiley & Sons,-,0
5291,The World  the Text  and the Criti,Edward W. Said/إدوارد سعيد,,eng,336.0,198,6,6/10/2006,Harvard University Press,-,0
5292,Culture and Imperialis,Edward W. Said,4.15,eng,380.0,4053,123,5/31/1994,Vintage,-,0
5293,La economía Long Tai,Chris Anderson/Federico Villegas Silva Lezama,3.81,other,318.0,24,3,7/1/2007,Ediciones Urano,-,0
5294,Prioritizing Web Usabilit,Jakob Nielsen/Hoa Loranger,3.94,other,406.0,599,16,4/20/2006,New Riders Publishing,-,0
5295,Homepage Usability: 50 Websites Deconstructe,Jakob Nielsen/Marie Tahir,3.74,eng,336.0,341,12,11/15/2001,New Riders Publishing,-,0
5296,Let My People Go Surfing: The Education of a Reluctant Businessma,Yvon Chouinard,4.22,eng,272.0,7838,681,9/5/2006,Penguin Books,-,0
5297,The Wild Trees: A Story of Passion and Darin,Richard   Preston,4.09,eng,,5588,942,8/23/2007,Random House (NY),-,0
5298,The Boat of Dreams: A Christmas Stor,Richard   Preston/George Henry Jennings,3.29,eng,111.0,115,22,10/28/2003,Touchstone Books,-,0
5299,Strange Pilgrim,Gabriel García Márquez,4.03,eng,208.0,6952,422,11/14/2006,Vintage,-,0
5300,Doce cuentos peregrino,Gabriel García Márquez,4.03,other,192.0,3205,195,11/14/2006,Vintage,-,0
5301,Would I Lie to You,Cecily von Ziegesar,3.59,eng,192.0,7948,135,10/4/2006,Little  Brown Young Readers,Gossip Girl,10
5302,Gossip Girl,Cecily von Ziegesar,3.52,eng,224.0,54400,2271,4/1/2002,Little  Brown and Company,Gossip Girl,1
5303,All I Want is Everything,Cecily von Ziegesar,3.55,eng,240.0,16452,412,5/7/2003,Poppy,Gossip Girl,3
5304,You're the One That I Want,Cecily von Ziegesar,,eng,224.0,17875,204,10/6/2004,Little  Brown Young Readers,Gossip Girl,6
5305,The Zer,Jess Walter,3.51,eng,336.0,1976,297,8/29/2006,Harper,-,0
5306,Zero: The Biography of a Dangerous Ide,Charles Seife,,eng,,131,19,10/12/2000,Souvenir Press,-,0
5307,Zero Debt: The Ultimate Guide to Financial Freedo,Lynnette Khalfani,3.74,eng,,49,10,8/1/2004,Advantage World Press,-,0
5308,The Hunt for Zero Point: Inside the Classified World of Antigravity Technolog,Nick Cook,4.12,other,320.0,323,37,12/18/2007,Broadway Books,-,0
5309,Year Zer,Jeff Long,3.6,eng,416.0,2164,139,7/1/2006,Atria Books,-,0
5310,Count Zero,William Gibson,4.01,other,308.0,37360,799,3/7/2006,Ace Books,Sprawl,2
5311,Triple Zero,Karen Traviss,4.24,eng,393.0,5130,163,2/28/2006,Del Rey Books,Star Wars: Republic Commando,2
5312,Bravo Two Zer,Andy McNab,4.09,eng,416.0,9151,269,11/1/2005,Corgi,-,0
5313,This Lullab,Sarah Dessen,4.03,eng,345.0,163599,4453,3/8/2004,Speak,-,0
5314,Lullabies for Little Criminal,Heather O'Neill,,eng,330.0,18419,1371,10/17/2006,Harper Perennial,-,0
5315,Hush! A Thai Lullab,Minfong Ho/Holly Meade,4.03,eng,32.0,1315,197,3/1/2000,Scholastic Inc.,-,0
5316,Lullaby Town,Robert Crais,4.14,eng,296.0,8359,319,4/1/2008,Orion,Elvis Cole,3
5317,The Iliad,SparkNotes/Homer,3.65,eng,88.0,23,3,1/10/2002,SparkNotes,-,0
5318,The Princess Bride,Diana Palmer,3.89,eng,192.0,634,32,1/23/1998,Silhouette Romance,Long  Tall Texans,15
5319,The Sultan's Bought Bride,Jane Porter,,eng,192.0,224,20,8/25/2004,Harlequin Presents,Princess Brides,1
5320,The Sheik & the Princess Bride,Susan   Mallery,3.95,eng,256.0,506,22,10/25/2004,Silhouette Special Edition,Desert Rogues,8
5321,The Prince Kidnaps a Bride,Christina Dodd,3.79,eng,384.0,2103,84,11/28/2006,Avon,Lost Princesses,3
5322,Stargirl,Jerry Spinelli,3.76,eng,186.0,1969,252,5/11/2004,Laurel Leaf,Stargirl,1
5323,Love  Stargirl,Jerry Spinelli,3.82,other,274.0,713,110,8/14/2007,Knopf Books for Young Readers,Stargirl,2
5324,Stargirl LitPlans on C,Mary B. Collins,4.86,eng,210.0,5,0,9/15/2005,,-,0
5325,Son of the Mob,Gordon Korman,3.72,eng,262.0,5977,620,9/1/2004,Little  Brown Books for Young Readers,Son of the Mob,1
